# 4, 6934
# t[s]       nu_e            nu_e_bar        nu_x            u_x_bar          
-0.411       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.408       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.406       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.404       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.402       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.400       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.398       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.396       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.394       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.392       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.390       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.388       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.386       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.384       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.382       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.380       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.378       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.376       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.374       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.372       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.370       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.368       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.366       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.364       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.362       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.360       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.358       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.356       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.354       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.352       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.350       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.348       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.346       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
-0.344       0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00 
