# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [MeV]   
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
8.05             2.2996425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.15             2.3431825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.25             2.3870625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.35             2.4312825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    5.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.45             2.4758425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.0070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.55             2.5207425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.1070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.65             2.5659825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.2070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.75             2.6115625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.3070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.85             2.6574825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.4070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
8.95             2.7037425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.5070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.05             2.7503425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.15             2.7972825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.25             2.8445625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.35             2.8921825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    6.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.45             2.9401425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.0070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.55             2.9884425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.1070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.65             3.0370825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.2070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.75             3.0860625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.3070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.85             3.1353825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.4070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
9.95             3.1850425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.5070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.05            3.2350425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.15            3.2853825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.25            3.3360625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
