# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [m^2 MeV]
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
8.35             6.6602625E-47    2.8209744E-47    1.1236002E-47    9.7376889E-48    2.4681297E-46    6.2267328E-47    3.8450270E-47    3.1248227E-47    
8.45             6.7430254E-47    2.8556793E-47    1.1371162E-47    9.8540939E-48    2.5318960E-46    6.3906085E-47    3.9424208E-47    3.2037265E-47    
8.55             6.8257908E-47    2.8903854E-47    1.1506321E-47    9.9704968E-48    2.5964775E-46    6.5566217E-47    4.0410319E-47    3.2836130E-47    
8.65             6.9085587E-47    2.9250925E-47    1.1641478E-47    1.0086898E-47    2.6618741E-46    6.7247725E-47    4.1408603E-47    3.3644821E-47    
8.75             6.9913289E-47    2.9598006E-47    1.1776634E-47    1.0203297E-47    2.7280859E-46    6.8950608E-47    4.2419062E-47    3.4463339E-47    
8.85             7.0741015E-47    2.9945096E-47    1.1911788E-47    1.0319694E-47    2.7951130E-46    7.0674868E-47    4.3441694E-47    3.5291684E-47    
8.95             7.1568763E-47    3.0292196E-47    1.2046941E-47    1.0436090E-47    2.8629553E-46    7.2420504E-47    4.4476500E-47    3.6129855E-47    
9.05             7.2396532E-47    3.0639305E-47    1.2182093E-47    1.0552484E-47    2.9316128E-46    7.4187517E-47    4.5523480E-47    3.6977852E-47    
9.15             7.3224323E-47    3.0986423E-47    1.2317244E-47    1.0668876E-47    3.0010855E-46    7.5975907E-47    4.6582633E-47    3.7835676E-47    
9.25             7.4052133E-47    3.1333550E-47    1.2452394E-47    1.0785267E-47    3.0713734E-46    7.7785674E-47    4.7653960E-47    3.8703326E-47    
9.35             7.4879963E-47    3.1680685E-47    1.2587543E-47    1.0901656E-47    3.1424766E-46    7.9616820E-47    4.8737461E-47    3.9580803E-47    
9.45             7.5707812E-47    3.2027828E-47    1.2722690E-47    1.1018043E-47    3.2143950E-46    8.1469343E-47    4.9833135E-47    4.0468106E-47    
9.55             7.6535679E-47    3.2374979E-47    1.2857837E-47    1.1134429E-47    3.2871287E-46    8.3343244E-47    5.0940983E-47    4.1365235E-47    
9.65             7.7363564E-47    3.2722137E-47    1.2992982E-47    1.1250814E-47    3.3606776E-46    8.5238524E-47    5.2061004E-47    4.2272190E-47    
9.75             7.8191467E-47    3.3069303E-47    1.3128127E-47    1.1367198E-47    3.4350418E-46    8.7155182E-47    5.3193199E-47    4.3188972E-47    
9.85             7.9019386E-47    3.3416476E-47    1.3263270E-47    1.1483580E-47    3.5102212E-46    8.9093219E-47    5.4337568E-47    4.4115580E-47    
9.95             7.9847322E-47    3.3763656E-47    1.3398413E-47    1.1599960E-47    3.5862159E-46    9.1052636E-47    5.5494110E-47    4.5052015E-47    
10.05            8.0675273E-47    3.4110842E-47    1.3533555E-47    1.1716340E-47    3.6630258E-46    9.3033432E-47    5.6662825E-47    4.5998275E-47    
10.15            8.1503240E-47    3.4458035E-47    1.3668695E-47    1.1832718E-47    3.7406511E-46    9.5035607E-47    5.7843714E-47    4.6954362E-47    
