# 4, 1000
# Nu Energy [MeV] Probability [ ]  
# t               nu_e            nu_e_bar        nu_x            nu_x_bar         
15.2500           2.1906395E-02   8.6165108E-02   1.1721825E+00   1.1213008E+00 
15.3500           4.9437663E-03   8.3185940E-02   1.1754517E+00   1.0963380E+00 
15.4500           -1.8483219E-04   5.4859602E-02   1.1745965E+00   1.0562221E+00 
15.5500           1.4977036E-02   1.8996493E-02   1.1777614E+00   1.0207625E+00 
15.6500           4.2463926E-02   -4.7679041E-03   1.1796603E+00   1.0092620E+00 
15.7500           6.4227601E-02   -7.9694412E-03   1.1672210E+00   1.0277542E+00 
15.8500           6.5743541E-02   3.0844621E-03   1.1321578E+00   1.0659847E+00 
15.9500           4.6301012E-02   1.4296794E-02   1.0801086E+00   1.1051784E+00 
16.0500           1.9009112E-02   1.5045904E-02   1.0295763E+00   1.1301365E+00 
16.1500           1.4721037E-03   5.4520916E-03   1.0017963E+00   1.1372391E+00 
16.2500           4.2266013E-03   -4.7439762E-03   1.0087205E+00   1.1338549E+00 
16.3500           2.4625734E-02   -3.9112348E-03   1.0468368E+00   1.1308791E+00 
16.4500           4.9438332E-02   1.2975012E-02   1.1000556E+00   1.1342297E+00 
16.5500           6.3617576E-02   4.0652778E-02   1.1490364E+00   1.1409184E+00 
16.6500           5.9290447E-02   6.6605537E-02   1.1808927E+00   1.1416576E+00 
16.7500           3.9668969E-02   7.8396695E-02   1.1938560E+00   1.1276731E+00 
16.8500           1.6227575E-02   7.0627806E-02   1.1951345E+00   1.0971289E+00 
16.9500           1.5339798E-03   4.7592860E-02   1.1942674E+00   1.0573115E+00 
17.0500           2.2234640E-03   2.0557242E-02   1.1964131E+00   1.0215564E+00 
17.1500           1.5934419E-02   1.6340538E-03   1.1993707E+00   1.0029236E+00 
17.2500           3.3399430E-02   -2.2088660E-03   1.1955428E+00   1.0081643E+00 
17.3500           4.4018690E-02   8.0169880E-03   1.1772059E+00   1.0349934E+00 
17.4500           4.1654557E-02   2.4697286E-02   1.1418826E+00   1.0736901E+00 
17.5500           2.7674372E-02   3.8038518E-02   1.0949063E+00   1.1118249E+00 
17.6500           9.9884005E-03   4.1050885E-02   1.0479873E+00   1.1395787E+00 
17.7500           -1.0823311E-03   3.2661784E-02   1.0146669E+00   1.1531859E+00 
17.8500           2.1325126E-03   1.7721405E-02   1.0049420E+00   1.1552244E+00 
17.9500           2.1080082E-02   4.2489580E-03   1.0215016E+00   1.1520762E+00 
18.0500           5.0378614E-02   -5.3153594E-04   1.0590593E+00   1.1500926E+00 
18.1500           8.0188941E-02   6.5255554E-03   1.1067885E+00   1.1523488E+00 
18.2500           1.0029843E-01   2.3249186E-02   1.1525719E+00   1.1573603E+00 
18.3500           1.0408139E-01   4.3287739E-02   1.1872057E+00   1.1601023E+00 
18.4500           9.0762084E-02   5.8920133E-02   1.2069512E+00   1.1546515E+00 
18.5500           6.5266423E-02   6.4240062E-02   1.2136871E+00   1.1371719E+00 
18.6500           3.5972496E-02   5.7411272E-02   1.2129449E+00   1.1079621E+00 
18.7500           1.1432999E-02   4.1201314E-02   1.2108740E+00   1.0717933E+00 
18.8500           -2.6056977E-03   2.1746524E-02   1.2114452E+00   1.0365069E+00 
18.9500           -4.8382957E-03   6.1653179E-03   1.2149301E+00   1.0104993E+00 
19.0500           1.7410879E-03   -1.2674998E-05   1.2180857E+00   1.0000712E+00 
19.1500           1.1499890E-02   5.3230196E-03   1.2157884E+00   1.0075647E+00 
19.2500           1.8588524E-02   2.0336599E-02   1.2033690E+00   1.0308520E+00 
19.3500           1.9192936E-02   4.0077015E-02   1.1787324E+00   1.0642221E+00 
19.4500           1.2857669E-02   5.8262572E-02   1.1435154E+00   1.1002533E+00 
19.5500           2.5190403E-03   6.9348976E-02   1.1029388E+00   1.1319919E+00 
19.6500           -6.6460684E-03   7.0196820E-02   1.0644752E+00   1.1547408E+00 
19.7500           -9.0786727E-03   6.0859222E-02   1.0358225E+00   1.1669708E+00 
19.8500           -7.5242189E-04   4.4337061E-02   1.0228451E+00   1.1701898E+00 
19.9500           1.9457168E-02   2.5479392E-02   1.0280936E+00   1.1679433E+00 
20.0500           4.9325540E-02   9.4400566E-03   1.0502831E+00   1.1643484E+00 
